"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 17, 2015","99.320","98.655","99.345","98.645","30.97K","1.47%"
"Dec 16, 2015","97.884","98.180","98.645","97.625","47.39K","-0.41%"
"Dec 15, 2015","98.288","97.655","98.350","97.225","24.92K","0.84%"
"Dec 14, 2015","97.469","97.725","97.870","97.565","0.90K","-0.08%"
"Dec 11, 2015","97.551","97.980","98.195","97.325","14.99K","-0.42%"
"Dec 10, 2015","97.960","97.365","97.980","97.365","39.19K","0.64%"
"Dec 09, 2015","97.334","98.485","98.510","97.210","49.35K","-1.15%"
"Dec 08, 2015","98.468","98.745","98.765","98.355","23.94K","-0.20%"
"Dec 07, 2015","98.669","98.330","98.905","98.270","29.00K","0.33%"
"Dec 04, 2015","98.343","98.015","98.615","97.750","55.18K","0.73%"
